date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:02:16	165476/165476	---M--	200	added ('OK')	font/woff	etag:%226475fe45-28664%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/6211Chilanka-Regular.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/6211Chilanka-Regular.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:17	15072/15072	---M--	200	added ('OK')	font/woff	etag:%226475fe55-3ae0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7236Coffee-Extra.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7236Coffee-Extra.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:17	33916/33916	---M--	200	added ('OK')	font/woff2	etag:%226475fe66-847c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4119Coffe-for-breakfast.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4119Coffe-for-breakfast.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:17	56132/56132	---M--	200	added ('OK')	font/woff	etag:%226475fe68-db44%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4119Coffe-for-breakfast.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4119Coffe-for-breakfast.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:17	17368/17368	---M--	200	added ('OK')	font/woff2	etag:%226475fe75-43d8%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/402Cream-Cake.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/402Cream-Cake.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:17	22868/22868	---M--	200	added ('OK')	font/woff	etag:%226475fe76-5954%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/402Cream-Cake.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/402Cream-Cake.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:18	73712/73712	---M--	200	added ('OK')	font/woff2	etag:%226475fe87-11ff0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/705DearSarah.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/705DearSarah.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:18	28736/28736	---M--	200	added ('OK')	font/woff2	etag:%226475fe94-7040%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/888Dear-Sarah.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/888Dear-Sarah.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:18	89372/89372	---M--	200	added ('OK')	font/woff	etag:%226475fe89-15d1c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/705DearSarah.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/705DearSarah.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:18	34748/34748	---M--	200	added ('OK')	font/woff	etag:%226475fe95-87bc%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/888Dear-Sarah.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/888Dear-Sarah.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:19	22752/22752	---M--	200	added ('OK')	font/woff2	etag:%226475fea7-58e0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4889DeliusSwashCaps-Regu.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4889DeliusSwashCaps-Regu.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:19	30668/30668	---M--	200	added ('OK')	font/woff	etag:%226475fea8-77cc%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4889DeliusSwashCaps-Regu.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4889DeliusSwashCaps-Regu.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:19	31412/31412	---M--	200	added ('OK')	font/woff2	etag:%226475feb6-7ab4%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8969freestyle.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8969freestyle.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:19	36928/36928	---M--	200	added ('OK')	font/woff	etag:%226475feb7-9040%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/8969freestyle.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/8969freestyle.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:20	29940/29940	---M--	200	added ('OK')	font/woff2	etag:%226475ff1a-74f4%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/3580grithani.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/3580grithani.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:20	109692/109692	---M--	200	added ('OK')	font/woff	etag:%226475ff1c-1ac7c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/3580grithani.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/3580grithani.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:20	12188/12188	---M--	200	added ('OK')	font/woff2	etag:%226475ff2c-2f9c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4304Hashiba.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4304Hashiba.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:20	16112/16112	---M--	200	added ('OK')	font/woff	etag:%226475ff2d-3ef0%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4304Hashiba.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4304Hashiba.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:20	25912/25912	---M--	200	added ('OK')	font/woff2	etag:%226475ff39-6538%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7829HennyPenny-Regular.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7829HennyPenny-Regular.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:21	31220/31220	---M--	200	added ('OK')	font/woff	etag:%226475ff3b-79f4%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/7829HennyPenny-Regular.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/7829HennyPenny-Regular.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:21	21868/21868	---M--	200	added ('OK')	font/woff2	etag:%226475ff55-556c%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5905high_spirited.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5905high_spirited.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:21	26624/26624	---M--	200	added ('OK')	font/woff	etag:%226475ff56-6800%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/5905high_spirited.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/5905high_spirited.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:21	10576/10576	---M--	200	added ('OK')	font/woff2	etag:%226475ff65-2950%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4615Italiana-Regular.woff2	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4615Italiana-Regular.woff2	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
08:02:21	14760/14760	---M--	200	added ('OK')	font/woff	etag:%226475ff66-39a8%22	https://inv.rumahundangan.id/wp-content/uploads/useanyfont/4615Italiana-Regular.woff	C:/My%20Web%20Sites/rumahundangan/inv.rumahundangan.id/wp-content/uploads/useanyfont/4615Italiana-Regular.woff	(from https://inv.rumahundangan.id/wp-content/uploads/useanyfont/uaf.css?ver=1694425351)
